2015-02-03 20:54:20,999 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\shallow\contest-ship1.plans.json
2015-02-03 20:54:21,024 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\shallow\dingy.plans.json
2015-02-03 20:54:21,051 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\contest-ship1.plans.json
2015-02-03 20:54:21,076 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\contest-ship2.plans.json
2015-02-03 20:54:21,119 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\ship1.plans.json
2015-02-03 20:54:21,150 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\ships\deep\ship2.plans.json
2015-02-03 20:54:21,178 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\well1.plans.json
2015-02-03 20:54:21,200 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\well2.plans.json
2015-02-03 20:54:21,227 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\general\chest\well-chest1.plans.json
2015-02-03 20:54:21,243 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\wells\forest\well-mycelium.plans.json
2015-02-03 20:54:21,259 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\birch-house.plans.json
2015-02-03 20:54:21,280 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\log-cabin.plans.json
2015-02-03 20:54:21,302 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\log-cabin2.plans.json
2015-02-03 20:54:21,322 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\buildings\forest\townhouse1.plans.json
2015-02-03 20:58:03,947 [Client thread] INFO SGS Treasure! | Treasure.java:585 | Loading plans mods\sgs_treasure\plans\chambers\chamber1.plans.json
